#EXPORTTYPE:       ,DATA ALL                        ,,,,
#FILE:             ,李院长 MgO-C C9-骨 C9-基 1400.ngb-dl9,,,,
#FORMAT:           ,NETZSCH5                        ,,,,
#FTYPE:            ,ANSI                            ,,,,
#IDENTITY:         ,C9-基                            ,,,,
#DECIMAL:          ,POINT                           ,,,,
#SEPARATOR:        ,COMMA                           ,,,,
#MTYPE:            ,DIL                             ,,,,
#INSTRUMENT:       ,NETZSCH DIL 402SU               ,,,,
#PROJECT:          ,123,,,,
#DATE/TIME:        ,2025/6/4 16:10:34 (UTC+8)       ,,,,
#CORR. FILE:       ,石墨炉 1400度-1.ngb-cl9             ,,,,
#TEMPCAL:          ,TCALZERO.TMX                    ,,,,
#LABORATORY:       ,wust                            ,,,,
#OPERATOR:         ,                                ,,,,
#REMARK:           ,                                ,,,,
#SAMPLE:           ,镁碳                              ,,,,
#SAMPLE LENGTH /mm:,25.08,,,,
#MATERIAL:         ,镁碳                              ,,,,
#MEASMODE:         ,Standard Expansion              ,,,,
#M.RANGE /μm:      ,50000,,,,
#CORR. CODE:       ,80,,,,
#RANGE:            ,25°C/5.0(K/min)/1403°C          ,,,,
#SEGMENT:          ,S1/2                            ,,,,
#SEG. 1:           ,25°C/5.0(K/min)/1403°C          ,,,,
#Tref:             ,30.0°C                          ,,,,
,,,,,
##Temp./°C,Time/min,dL/Lo,Force/N,Gas Flow(protective)/(ml/min),m. CTE(1)/(1/K)
530,101.73442,3.96E-03,0.30011,60,7.82E-06
531,101.93744,3.97E-03,0.3,60,7.82E-06
532,102.13985,3.98E-03,0.29999,60,7.82E-06
533,102.34206,3.99E-03,0.30002,60,7.83E-06
534,102.54393,3.99E-03,0.30001,60,7.83E-06
535,102.74568,4.00E-03,0.30001,60,7.83E-06
536,102.9475,4.01E-03,0.3,60,7.83E-06
537,103.14925,4.02E-03,0.30003,60,7.83E-06
538,103.35141,4.03E-03,0.29999,60,7.83E-06
539,103.55416,4.04E-03,0.29998,60,7.83E-06
540,103.75748,4.04E-03,0.30001,60,7.83E-06
541,103.96135,4.05E-03,0.3,60,7.83E-06
542,104.16556,4.06E-03,0.3,60,7.83E-06
543,104.36969,4.07E-03,0.29997,60,7.83E-06
544,104.57376,4.08E-03,0.30001,60,7.83E-06
545,104.7779,4.09E-03,0.30001,60,7.84E-06
546,104.9819,4.09E-03,0.3,60,7.84E-06
547,105.18581,4.10E-03,0.30012,60,7.83E-06
548,105.3901,4.11E-03,0.3,60,7.84E-06
549,105.59485,4.12E-03,0.29999,60,7.84E-06
550,105.79989,4.12E-03,0.29999,60,7.84E-06
551,106.00509,4.13E-03,0.3,60,7.84E-06
552,106.2104,4.14E-03,0.29999,60,7.84E-06
553,106.41586,4.15E-03,0.3,60,7.84E-06
554,106.62079,4.16E-03,0.29999,60,7.84E-06
555,106.82458,4.16E-03,0.30002,60,7.83E-06
556,107.02745,4.17E-03,0.29996,60,7.84E-06
557,107.2305,4.18E-03,0.30004,60,7.84E-06
558,107.43445,4.19E-03,0.30003,60,7.84E-06
559,107.63884,4.20E-03,0.30002,60,7.84E-06
560,107.84325,4.20E-03,0.29994,60,7.84E-06
561,108.0476,4.21E-03,0.30003,60,7.84E-06
562,108.25212,4.22E-03,0.29999,60,7.84E-06
563,108.45637,4.23E-03,0.29999,60,7.84E-06
564,108.65953,4.24E-03,0.29998,60,7.84E-06
565,108.86209,4.24E-03,0.29999,60,7.84E-06
566,109.06469,4.25E-03,0.29996,60,7.84E-06
567,109.26739,4.26E-03,0.3,60,7.83E-06
568,109.46995,4.26E-03,0.3,60,7.83E-06
569,109.67227,4.27E-03,0.30001,60,7.83E-06
570,109.87447,4.28E-03,0.29997,60,7.83E-06
571,110.07642,4.29E-03,0.30002,60,7.83E-06
572,110.27824,4.29E-03,0.29998,60,7.83E-06
573,110.47994,4.30E-03,0.29994,60,7.83E-06
574,110.68104,4.31E-03,0.29999,60,7.83E-06
575,110.88189,4.32E-03,0.30001,60,7.83E-06
576,111.08279,4.32E-03,0.29997,60,7.83E-06
577,111.28364,4.33E-03,0.29992,60,7.83E-06
578,111.48467,4.34E-03,0.30001,60,7.82E-06
579,111.68631,4.34E-03,0.30001,60,7.82E-06
580,111.88848,4.35E-03,0.30001,60,7.82E-06
581,112.09086,4.36E-03,0.30002,60,7.82E-06
582,112.2935,4.37E-03,0.30001,60,7.82E-06
583,112.49617,4.37E-03,0.29995,60,7.82E-06
584,112.69868,4.38E-03,0.30004,60,7.81E-06
585,112.90086,4.39E-03,0.30003,60,7.81E-06
586,113.10246,4.39E-03,0.30004,60,7.81E-06
587,113.30379,4.40E-03,0.3,60,7.81E-06
588,113.50505,4.41E-03,0.29995,60,7.81E-06
589,113.70646,4.41E-03,0.29998,60,7.81E-06
590,113.90812,4.42E-03,0.3,60,7.80E-06
591,114.10971,4.43E-03,0.30004,60,7.80E-06
592,114.31179,4.43E-03,0.30004,60,7.80E-06
593,114.51433,4.44E-03,0.29998,60,7.80E-06
594,114.71726,4.45E-03,0.30001,60,7.80E-06
595,114.92035,4.46E-03,0.29996,60,7.80E-06
596,115.12347,4.46E-03,0.30003,60,7.80E-06
597,115.32667,4.47E-03,0.29999,60,7.80E-06
598,115.52999,4.48E-03,0.30001,60,7.79E-06
599,115.73329,4.48E-03,0.29999,60,7.79E-06
600,115.93615,4.49E-03,0.30005,60,7.79E-06
601,116.13854,4.50E-03,0.3,60,7.79E-06
602,116.34069,4.51E-03,0.30005,60,7.79E-06
603,116.54313,4.51E-03,0.29998,60,7.79E-06
604,116.74572,4.52E-03,0.30003,60,7.79E-06
605,116.94835,4.53E-03,0.29999,60,7.79E-06
606,117.15122,4.54E-03,0.29998,60,7.79E-06
607,117.35448,4.55E-03,0.30003,60,7.79E-06
608,117.55807,4.55E-03,0.3,60,7.79E-06
609,117.76187,4.56E-03,0.29999,60,7.79E-06
610,117.96565,4.57E-03,0.30003,60,7.79E-06
611,118.16922,4.58E-03,0.30002,60,7.79E-06
612,118.37283,4.58E-03,0.30003,60,7.79E-06
613,118.57621,4.59E-03,0.29997,60,7.79E-06
614,118.77968,4.60E-03,0.29995,60,7.79E-06
615,118.98361,4.61E-03,0.29999,60,7.79E-06
616,119.18831,4.61E-03,0.29996,60,7.79E-06
617,119.39392,4.62E-03,0.29996,60,7.79E-06
618,119.60015,4.63E-03,0.30001,60,7.79E-06
619,119.80703,4.64E-03,0.29999,60,7.79E-06
620,120.0143,4.65E-03,0.29998,60,7.79E-06
621,120.22179,4.65E-03,0.29998,60,7.79E-06
622,120.42914,4.66E-03,0.30002,60,7.79E-06
623,120.6355,4.67E-03,0.29998,60,7.79E-06
624,120.84052,4.68E-03,0.29996,60,7.79E-06
625,121.04461,4.68E-03,0.29998,60,7.79E-06
626,121.24807,4.69E-03,0.29997,60,7.79E-06
627,121.45131,4.70E-03,0.3,60,7.79E-06
628,121.6541,4.70E-03,0.29996,60,7.78E-06
629,121.85562,4.71E-03,0.3,60,7.78E-06
630,122.05601,4.72E-03,0.30006,60,7.78E-06
631,122.25597,4.73E-03,0.30004,60,7.78E-06
632,122.45654,4.73E-03,0.30006,60,7.78E-06
633,122.65847,4.74E-03,0.29999,60,7.78E-06
634,122.86182,4.75E-03,0.29995,60,7.78E-06
635,123.06602,4.76E-03,0.3,60,7.78E-06
636,123.27085,4.76E-03,0.30001,60,7.78E-06
637,123.47569,4.77E-03,0.29998,60,7.78E-06
638,123.67992,4.78E-03,0.3,60,7.78E-06
639,123.88347,4.79E-03,0.30003,60,7.78E-06
640,124.08638,4.79E-03,0.29998,60,7.78E-06
641,124.289,4.80E-03,0.29999,60,7.78E-06
642,124.49152,4.81E-03,0.29997,60,7.78E-06
643,124.69409,4.82E-03,0.3,60,7.78E-06
644,124.89673,4.83E-03,0.29999,60,7.78E-06
645,125.09892,4.83E-03,0.30002,60,7.78E-06
646,125.30025,4.84E-03,0.30003,60,7.78E-06
647,125.50085,4.85E-03,0.30002,60,7.78E-06
648,125.70031,4.86E-03,0.30004,60,7.78E-06
649,125.89867,4.86E-03,0.29994,60,7.78E-06
650,126.09651,4.87E-03,0.30004,60,7.78E-06
651,126.29488,4.88E-03,0.29992,60,7.78E-06
652,126.49402,4.89E-03,0.30001,60,7.78E-06
653,126.69414,4.89E-03,0.30004,60,7.77E-06
654,126.89485,4.90E-03,0.3001,60,7.77E-06
655,127.09567,4.91E-03,0.29998,60,7.77E-06
656,127.29688,4.92E-03,0.3,60,7.77E-06
657,127.49865,4.92E-03,0.29989,60,7.77E-06
658,127.70101,4.93E-03,0.29999,60,7.78E-06
659,127.90385,4.94E-03,0.30004,60,7.78E-06
660,128.1072,4.95E-03,0.29998,60,7.78E-06
661,128.31205,4.96E-03,0.3,60,7.78E-06
662,128.51875,4.97E-03,0.3,60,7.78E-06
663,128.72567,4.97E-03,0.3,60,7.78E-06
664,128.93196,4.98E-03,0.29995,60,7.78E-06
665,129.13742,4.99E-03,0.29998,60,7.78E-06
666,129.3416,5.00E-03,0.3,60,7.78E-06
667,129.54488,5.00E-03,0.3,60,7.78E-06
668,129.7474,5.01E-03,0.30002,60,7.78E-06
669,129.94968,5.02E-03,0.30002,60,7.78E-06
670,130.15255,5.03E-03,0.29998,60,7.78E-06
671,130.3575,5.03E-03,0.30003,60,7.78E-06
672,130.5656,5.04E-03,0.29999,60,7.78E-06
673,130.7758,5.05E-03,0.30006,60,7.77E-06
674,130.98703,5.06E-03,0.3,60,7.78E-06
675,131.19767,5.07E-03,0.29996,60,7.78E-06
676,131.40688,5.07E-03,0.29999,60,7.78E-06
677,131.61541,5.08E-03,0.30008,60,7.78E-06
678,131.82387,5.09E-03,0.30004,60,7.78E-06
679,132.0332,5.10E-03,0.30001,60,7.78E-06
680,132.244,5.11E-03,0.30001,60,7.78E-06
681,132.45528,5.11E-03,0.29997,60,7.78E-06
682,132.66674,5.12E-03,0.3,60,7.78E-06
683,132.87772,5.13E-03,0.29999,60,7.78E-06
684,133.08735,5.13E-03,0.3,60,7.77E-06
685,133.29578,5.14E-03,0.30001,60,7.77E-06
686,133.50247,5.15E-03,0.30001,60,7.77E-06
687,133.7071,5.16E-03,0.3,60,7.78E-06
688,133.91046,5.17E-03,0.29998,60,7.77E-06
689,134.11278,5.17E-03,0.30005,60,7.77E-06
690,134.31426,5.18E-03,0.3,60,7.78E-06
691,134.51578,5.19E-03,0.30001,60,7.77E-06
692,134.71771,5.20E-03,0.30004,60,7.77E-06
693,134.91986,5.20E-03,0.30004,60,7.77E-06
694,135.12237,5.21E-03,0.30004,60,7.77E-06
695,135.32498,5.22E-03,0.3,60,7.77E-06
696,135.52728,5.23E-03,0.3,60,7.77E-06
697,135.72977,5.23E-03,0.30001,60,7.77E-06
698,135.93314,5.24E-03,0.29996,60,7.77E-06
699,136.13718,5.25E-03,0.30001,60,7.77E-06
700,136.34174,5.25E-03,0.29995,60,7.77E-06
701,136.54601,5.26E-03,0.30001,60,7.77E-06
702,136.74939,5.27E-03,0.30001,60,7.77E-06
703,136.95205,5.28E-03,0.30001,60,7.77E-06
704,137.15368,5.28E-03,0.30001,60,7.76E-06
705,137.35351,5.29E-03,0.3,60,7.76E-06
706,137.55067,5.30E-03,0.29999,60,7.76E-06
707,137.74537,5.30E-03,0.29998,60,7.76E-06
708,137.93853,5.31E-03,0.30001,60,7.76E-06
709,138.13161,5.32E-03,0.29999,60,7.76E-06
710,138.3253,5.32E-03,0.30001,60,7.76E-06
711,138.52065,5.33E-03,0.29998,60,7.75E-06
712,138.71811,5.34E-03,0.30002,60,7.75E-06
713,138.91709,5.34E-03,0.3,60,7.75E-06
714,139.11777,5.35E-03,0.30003,60,7.75E-06
715,139.31956,5.36E-03,0.29998,60,7.75E-06
716,139.52163,5.37E-03,0.29999,60,7.75E-06
717,139.72395,5.37E-03,0.29999,60,7.75E-06
718,139.92617,5.38E-03,0.30005,60,7.75E-06
719,140.12772,5.39E-03,0.30007,60,7.75E-06
720,140.32807,5.39E-03,0.3,60,7.74E-06
721,140.5276,5.40E-03,0.29999,60,7.74E-06
722,140.72687,5.41E-03,0.29996,60,7.74E-06
723,140.92622,5.41E-03,0.30002,60,7.74E-06
724,141.12531,5.42E-03,0.30003,60,7.74E-06
725,141.32415,5.43E-03,0.29994,60,7.74E-06
726,141.52322,5.43E-03,0.3,60,7.74E-06
727,141.72226,5.44E-03,0.29996,60,7.73E-06
728,141.92149,5.45E-03,0.30005,60,7.73E-06
729,142.12046,5.45E-03,0.3,60,7.73E-06
730,142.31863,5.46E-03,0.29999,60,7.73E-06
731,142.51606,5.47E-03,0.30001,60,7.73E-06
732,142.71304,5.48E-03,0.29998,60,7.73E-06
733,142.90983,5.48E-03,0.29998,60,7.73E-06
734,143.10684,5.49E-03,0.30002,60,7.73E-06
735,143.30424,5.50E-03,0.29997,60,7.73E-06
736,143.50178,5.50E-03,0.30001,60,7.72E-06
737,143.69923,5.51E-03,0.29993,60,7.72E-06
738,143.89652,5.52E-03,0.30003,60,7.72E-06
739,144.09376,5.52E-03,0.29998,60,7.72E-06
740,144.29136,5.53E-03,0.29994,60,7.72E-06
741,144.48909,5.54E-03,0.29997,60,7.72E-06
742,144.68695,5.54E-03,0.29997,60,7.72E-06
743,144.88525,5.55E-03,0.29999,60,7.72E-06
744,145.08368,5.56E-03,0.30002,60,7.72E-06
745,145.28209,5.57E-03,0.3,60,7.72E-06
746,145.48032,5.58E-03,0.3,60,7.72E-06
747,145.6784,5.58E-03,0.29998,60,7.72E-06
748,145.87625,5.59E-03,0.29998,60,7.72E-06
749,146.07383,5.60E-03,0.29996,60,7.72E-06
750,146.27094,5.61E-03,0.30004,60,7.72E-06
751,146.46763,5.62E-03,0.29999,60,7.72E-06
752,146.66353,5.62E-03,0.29998,60,7.72E-06
753,146.8584,5.63E-03,0.29999,60,7.72E-06
754,147.05248,5.64E-03,0.29996,60,7.72E-06
755,147.24646,5.65E-03,0.3,60,7.72E-06
756,147.44084,5.66E-03,0.3,60,7.72E-06
757,147.63598,5.67E-03,0.30002,60,7.73E-06
758,147.83297,5.67E-03,0.29998,60,7.73E-06
759,148.03195,5.68E-03,0.29998,60,7.73E-06
760,148.23232,5.69E-03,0.29997,60,7.73E-06
761,148.43421,5.70E-03,0.29996,60,7.73E-06
762,148.6371,5.71E-03,0.29997,60,7.73E-06
763,148.84037,5.72E-03,0.29998,60,7.73E-06
764,149.0436,5.73E-03,0.3,60,7.73E-06
765,149.24595,5.74E-03,0.29999,60,7.74E-06
766,149.44706,5.75E-03,0.30002,60,7.74E-06
767,149.64713,5.75E-03,0.30001,60,7.74E-06
768,149.84612,5.76E-03,0.29996,60,7.74E-06
769,150.04411,5.77E-03,0.30003,60,7.74E-06
770,150.24137,5.78E-03,0.30003,60,7.74E-06
771,150.43849,5.79E-03,0.29998,60,7.74E-06
772,150.63572,5.80E-03,0.30006,60,7.75E-06
773,150.83302,5.81E-03,0.30001,60,7.75E-06
774,151.0302,5.82E-03,0.29999,60,7.75E-06
775,151.227,5.83E-03,0.30002,60,7.75E-06
776,151.42309,5.84E-03,0.30003,60,7.75E-06
777,151.61863,5.84E-03,0.29999,60,7.76E-06
778,151.81419,5.85E-03,0.29992,60,7.76E-06
779,152.00989,5.86E-03,0.29997,60,7.76E-06
780,152.20567,5.88E-03,0.30001,60,7.77E-06
781,152.40161,5.89E-03,0.3,60,7.77E-06
782,152.59807,5.90E-03,0.30002,60,7.77E-06
783,152.79495,5.91E-03,0.29998,60,7.78E-06
784,152.99215,5.92E-03,0.29998,60,7.78E-06
785,153.1895,5.93E-03,0.3,60,7.78E-06
786,153.38702,5.94E-03,0.3,60,7.79E-06
787,153.58476,5.95E-03,0.30002,60,7.79E-06
788,153.78238,5.96E-03,0.30004,60,7.79E-06
789,153.97943,5.97E-03,0.30001,60,7.80E-06
790,154.1761,5.98E-03,0.29996,60,7.80E-06
791,154.37287,5.99E-03,0.30002,60,7.81E-06
792,154.56955,6.00E-03,0.29999,60,7.81E-06
793,154.76622,6.01E-03,0.29999,60,7.81E-06
794,154.96334,6.02E-03,0.30005,60,7.82E-06
795,155.16115,6.03E-03,0.29999,60,7.82E-06
796,155.35956,6.04E-03,0.3,60,7.82E-06
797,155.55807,6.05E-03,0.30002,60,7.82E-06
798,155.75597,6.06E-03,0.29994,60,7.83E-06
799,155.9526,6.07E-03,0.30004,60,7.83E-06
800,156.14816,6.08E-03,0.3,60,7.84E-06
801,156.34359,6.09E-03,0.30001,60,7.84E-06
802,156.53957,6.11E-03,0.30001,60,7.84E-06
803,156.73617,6.12E-03,0.3,60,7.85E-06
804,156.93391,6.13E-03,0.29998,60,7.85E-06
805,157.13242,6.14E-03,0.3,60,7.86E-06
806,157.33091,6.15E-03,0.29996,60,7.86E-06
807,157.53018,6.16E-03,0.29997,60,7.87E-06
808,157.73008,6.17E-03,0.30003,60,7.87E-06
809,157.92953,6.18E-03,0.29998,60,7.88E-06
810,158.12852,6.20E-03,0.30002,60,7.88E-06
811,158.32742,6.21E-03,0.3,60,7.88E-06
812,158.52614,6.22E-03,0.30001,60,7.89E-06
813,158.72524,6.23E-03,0.29997,60,7.89E-06
814,158.92533,6.24E-03,0.29998,60,7.90E-06
815,159.12604,6.25E-03,0.30003,60,7.90E-06
816,159.32684,6.26E-03,0.30001,60,7.91E-06
817,159.52769,6.28E-03,0.30002,60,7.91E-06
818,159.72866,6.29E-03,0.30009,60,7.91E-06
819,159.92982,6.30E-03,0.29998,60,7.92E-06
820,160.13114,6.31E-03,0.29988,60,7.92E-06
821,160.33243,6.32E-03,0.30002,60,7.93E-06
822,160.53309,6.33E-03,0.3,60,7.93E-06
823,160.73264,6.34E-03,0.30003,60,7.93E-06
824,160.93093,6.35E-03,0.29998,60,7.94E-06
825,161.12823,6.36E-03,0.29997,60,7.94E-06
826,161.32534,6.37E-03,0.30002,60,7.94E-06
827,161.52347,6.38E-03,0.30007,60,7.95E-06
828,161.72342,6.39E-03,0.30004,60,7.95E-06
829,161.92497,6.41E-03,0.30001,60,7.96E-06
830,162.12742,6.42E-03,0.30003,60,7.96E-06
831,162.33069,6.43E-03,0.30005,60,7.96E-06
832,162.53429,6.44E-03,0.29999,60,7.96E-06
833,162.73721,6.45E-03,0.30002,60,7.97E-06
834,162.93943,6.46E-03,0.30005,60,7.97E-06
835,163.1414,6.47E-03,0.30002,60,7.97E-06
836,163.34279,6.48E-03,0.30012,60,7.97E-06
837,163.54249,6.49E-03,0.30003,60,7.97E-06
838,163.74009,6.49E-03,0.29997,60,7.98E-06
839,163.93637,6.50E-03,0.29998,60,7.98E-06
840,164.13184,6.51E-03,0.29997,60,7.98E-06
841,164.32663,6.53E-03,0.30002,60,7.98E-06
842,164.52106,6.54E-03,0.30001,60,7.99E-06
843,164.71603,6.55E-03,0.30004,60,7.99E-06
844,164.91177,6.56E-03,0.3,60,7.99E-06
845,165.10833,6.56E-03,0.29997,60,7.99E-06
846,165.30565,6.57E-03,0.30001,60,8.00E-06
847,165.50308,6.58E-03,0.30004,60,8.00E-06
848,165.70089,6.60E-03,0.30001,60,8.00E-06
849,165.89865,6.61E-03,0.3,60,8.01E-06
850,166.0961,6.62E-03,0.30009,60,8.01E-06
851,166.29372,6.63E-03,0.30006,60,8.02E-06
852,166.49094,6.64E-03,0.3,60,8.02E-06
853,166.68721,6.66E-03,0.30004,60,8.03E-06
854,166.88288,6.67E-03,0.30003,60,8.03E-06
855,167.07868,6.68E-03,0.30005,60,8.03E-06
856,167.27491,6.69E-03,0.3,60,8.04E-06
857,167.4712,6.70E-03,0.29997,60,8.04E-06
858,167.66791,6.71E-03,0.29999,60,8.04E-06
859,167.86561,6.72E-03,0.30001,60,8.05E-06
860,168.06388,6.73E-03,0.30001,60,8.05E-06
861,168.26259,6.74E-03,0.30005,60,8.05E-06
862,168.46129,6.75E-03,0.3,60,8.06E-06
863,168.65965,6.76E-03,0.3,60,8.06E-06
864,168.85805,6.77E-03,0.3,60,8.06E-06
865,169.0564,6.78E-03,0.29997,60,8.06E-06
866,169.25472,6.79E-03,0.30002,60,8.07E-06
867,169.45328,6.80E-03,0.30001,60,8.07E-06
868,169.65191,6.82E-03,0.30002,60,8.07E-06
869,169.85001,6.83E-03,0.29998,60,8.08E-06
870,170.04786,6.84E-03,0.29997,60,8.08E-06
871,170.24538,6.85E-03,0.30001,60,8.08E-06
872,170.44266,6.86E-03,0.29998,60,8.09E-06
873,170.64044,6.87E-03,0.30001,60,8.09E-06
874,170.83807,6.88E-03,0.30003,60,8.09E-06
875,171.03566,6.89E-03,0.30005,60,8.10E-06
876,171.23456,6.90E-03,0.30001,60,8.10E-06
877,171.43481,6.92E-03,0.3,60,8.11E-06
878,171.63579,6.93E-03,0.3,60,8.11E-06
879,171.83705,6.94E-03,0.29997,60,8.12E-06
880,172.03843,6.95E-03,0.3,60,8.12E-06
881,172.23992,6.96E-03,0.3,60,8.12E-06
882,172.44166,6.97E-03,0.29997,60,8.13E-06
883,172.64396,6.98E-03,0.29998,60,8.13E-06
884,172.84683,6.99E-03,0.29996,60,8.13E-06
885,173.05024,7.00E-03,0.3,60,8.13E-06
886,173.25365,7.01E-03,0.30003,60,8.13E-06
887,173.45558,7.02E-03,0.30002,60,8.14E-06
888,173.65581,7.03E-03,0.29998,60,8.14E-06
889,173.8549,7.04E-03,0.29999,60,8.14E-06
890,174.05362,7.05E-03,0.30002,60,8.14E-06
891,174.2527,7.06E-03,0.30007,60,8.14E-06
892,174.45257,7.07E-03,0.3,60,8.14E-06
893,174.6528,7.08E-03,0.29995,60,8.15E-06
894,174.85383,7.09E-03,0.29997,60,8.15E-06
895,175.05576,7.10E-03,0.3,60,8.15E-06
896,175.25815,7.11E-03,0.30001,60,8.15E-06
897,175.46059,7.12E-03,0.29998,60,8.15E-06
898,175.66188,7.13E-03,0.30001,60,8.15E-06
899,175.86194,7.14E-03,0.30002,60,8.15E-06
900,176.06114,7.14E-03,0.30003,60,8.15E-06
901,176.25935,7.15E-03,0.30003,60,8.16E-06
902,176.45695,7.16E-03,0.3,60,8.16E-06
903,176.65455,7.17E-03,0.29999,60,8.16E-06
904,176.85228,7.18E-03,0.30001,60,8.16E-06
905,177.04889,7.19E-03,0.30004,60,8.16E-06
906,177.24492,7.20E-03,0.30003,60,8.17E-06
907,177.44137,7.21E-03,0.29994,60,8.17E-06
908,177.6383,7.22E-03,0.29996,60,8.17E-06
909,177.83558,7.23E-03,0.29995,60,8.17E-06
910,178.03307,7.24E-03,0.29999,60,8.18E-06
911,178.23161,7.26E-03,0.30004,60,8.18E-06
912,178.43147,7.27E-03,0.29999,60,8.18E-06
913,178.63151,7.28E-03,0.3,60,8.19E-06
914,178.83106,7.29E-03,0.29996,60,8.19E-06
915,179.03032,7.30E-03,0.29995,60,8.19E-06
916,179.22913,7.31E-03,0.29998,60,8.19E-06
917,179.42765,7.32E-03,0.30003,60,8.20E-06
918,179.62618,7.33E-03,0.29996,60,8.20E-06
919,179.82447,7.34E-03,0.30001,60,8.20E-06
920,180.02262,7.35E-03,0.30004,60,8.20E-06
921,180.22073,7.36E-03,0.30003,60,8.21E-06
922,180.41854,7.37E-03,0.29999,60,8.21E-06
923,180.61596,7.38E-03,0.29998,60,8.21E-06
924,180.81367,7.39E-03,0.3,60,8.21E-06
925,181.01208,7.40E-03,0.29998,60,8.22E-06
926,181.21114,7.41E-03,0.30001,60,8.22E-06
927,181.41047,7.42E-03,0.30001,60,8.22E-06
928,181.60924,7.43E-03,0.3,60,8.22E-06
929,181.80767,7.44E-03,0.3,60,8.22E-06
930,182.00609,7.45E-03,0.29999,60,8.22E-06
931,182.20453,7.46E-03,0.30002,60,8.22E-06
932,182.40315,7.47E-03,0.30003,60,8.22E-06
933,182.60202,7.48E-03,0.30001,60,8.23E-06
934,182.80026,7.49E-03,0.29999,60,8.23E-06
935,182.99731,7.50E-03,0.29999,60,8.23E-06
936,183.19367,7.51E-03,0.30001,60,8.23E-06
937,183.39052,7.52E-03,0.3,60,8.23E-06
938,183.58848,7.53E-03,0.29995,60,8.24E-06
939,183.78733,7.54E-03,0.29999,60,8.24E-06
940,183.98685,7.55E-03,0.29998,60,8.24E-06
941,184.18685,7.56E-03,0.30007,60,8.24E-06
942,184.38735,7.57E-03,0.29995,60,8.25E-06
943,184.58851,7.58E-03,0.3,60,8.25E-06
944,184.78984,7.59E-03,0.29996,60,8.25E-06
945,184.99117,7.60E-03,0.30001,60,8.26E-06
946,185.19287,7.61E-03,0.3,60,8.26E-06
947,185.39488,7.63E-03,0.29997,60,8.26E-06
948,185.59648,7.64E-03,0.3,60,8.26E-06
949,185.79773,7.65E-03,0.30001,60,8.27E-06
950,185.99875,7.66E-03,0.3,60,8.27E-06
951,186.19954,7.67E-03,0.30001,60,8.27E-06
952,186.40088,7.68E-03,0.30001,60,8.27E-06
953,186.6026,7.69E-03,0.3,60,8.28E-06
954,186.80432,7.70E-03,0.29998,60,8.28E-06
955,187.00613,7.71E-03,0.30003,60,8.28E-06
956,187.20832,7.72E-03,0.30002,60,8.28E-06
957,187.40977,7.73E-03,0.30003,60,8.28E-06
958,187.61023,7.74E-03,0.30001,60,8.29E-06
959,187.81072,7.75E-03,0.3,60,8.29E-06
960,188.0114,7.76E-03,0.30004,60,8.29E-06
961,188.21219,7.77E-03,0.30002,60,8.30E-06
962,188.41297,7.78E-03,0.30001,60,8.30E-06
963,188.6132,7.80E-03,0.3,60,8.30E-06
964,188.81203,7.81E-03,0.29997,60,8.30E-06
965,189.00959,7.82E-03,0.30005,60,8.31E-06
966,189.20701,7.83E-03,0.30001,60,8.31E-06
967,189.40494,7.84E-03,0.30003,60,8.31E-06
968,189.60291,7.85E-03,0.29998,60,8.32E-06
969,189.80049,7.86E-03,0.3,60,8.32E-06
970,189.99795,7.87E-03,0.30004,60,8.32E-06
971,190.19632,7.88E-03,0.29999,60,8.32E-06
972,190.39562,7.89E-03,0.29996,60,8.33E-06
973,190.59497,7.90E-03,0.29995,60,8.33E-06
974,190.7939,7.91E-03,0.30002,60,8.33E-06
975,190.99321,7.92E-03,0.3,60,8.33E-06
976,191.19299,7.94E-03,0.30006,60,8.34E-06
977,191.39214,7.95E-03,0.30001,60,8.34E-06
978,191.5903,7.96E-03,0.30005,60,8.34E-06
979,191.78786,7.97E-03,0.29998,60,8.34E-06
980,191.98482,7.98E-03,0.29999,60,8.35E-06
981,192.18102,7.99E-03,0.30004,60,8.35E-06
982,192.37724,8.00E-03,0.29998,60,8.35E-06
983,192.57428,8.01E-03,0.30003,60,8.35E-06
984,192.77225,8.02E-03,0.30004,60,8.36E-06
985,192.9705,8.03E-03,0.30002,60,8.36E-06
986,193.16847,8.04E-03,0.3,60,8.36E-06
987,193.36562,8.05E-03,0.30003,60,8.36E-06
988,193.56204,8.07E-03,0.30005,60,8.37E-06
989,193.75688,8.08E-03,0.30001,60,8.37E-06
990,193.94997,8.09E-03,0.30004,60,8.37E-06
991,194.14289,8.10E-03,0.3,60,8.37E-06
992,194.33731,8.11E-03,0.3,60,8.38E-06
993,194.53385,8.12E-03,0.30003,60,8.38E-06
994,194.73175,8.13E-03,0.30005,60,8.38E-06
995,194.93099,8.14E-03,0.29996,60,8.39E-06
996,195.13186,8.16E-03,0.30002,60,8.39E-06
997,195.33438,8.17E-03,0.29999,60,8.39E-06
998,195.53881,8.18E-03,0.29996,60,8.40E-06
999,195.74205,8.19E-03,0.30002,60,8.40E-06
1000,195.94314,8.20E-03,0.30003,60,8.40E-06
1001,196.14449,8.21E-03,0.3,60,8.40E-06
1002,196.34628,8.22E-03,0.3,60,8.40E-06
1003,196.54802,8.23E-03,0.30001,60,8.41E-06
1004,196.74992,8.24E-03,0.29999,60,8.41E-06
1005,196.95201,8.25E-03,0.30001,60,8.41E-06
